video_title,video_url,video_views,video_uploaded_on,scrapped_on
July 2021 Monthly Current Affairs | July 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=S2fw1XNJTns,118K views,1 year ago,2022-09-09 14:12:18.384721
Must Know Cases of 2021 | Top Cases for 2021 Exams,https://www.youtube.com/watch?v=3e1JE9o-wjE,351K views,1 year ago,2022-09-09 14:12:18.384721
Evolution and History of Civil Services in India | UPSC Exam in India,https://www.youtube.com/watch?v=BrWo8EHL8Is,155K views,1 year ago,2022-09-09 14:12:18.384721
Monthly Current Affairs | May 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=KoIR2CRtY7k,99K views,1 year ago,2022-09-09 14:12:18.384721
Battle for Jerusalem 2021 | Israel-Palestine Conflict,https://www.youtube.com/watch?v=vnld0iAEXQQ,216K views,1 year ago,2022-09-09 14:12:18.384721
Understand Full History of Israel-Palestine: Explained,https://www.youtube.com/watch?v=GL-Rv2Zy8jQ,241K views,1 year ago,2022-09-09 14:12:18.384721
How to Read a Case Citation,https://www.youtube.com/watch?v=lrwgc-Cbd5E,162K views,1 year ago,2022-09-09 14:12:18.384721
"Difference between an Act, Bill, Ordinance, Rules, Regulations | Explained",https://www.youtube.com/watch?v=OVFy5r1m5Wo,514K views,1 year ago,2022-09-09 14:12:18.384721
April 2021 Monthly Current Affairs | Important Current Affairs 2021,https://www.youtube.com/watch?v=-FJ9WHJUDhc,69K views,1 year ago,2022-09-09 14:12:18.384721
Types of VIP Security in India,https://www.youtube.com/watch?v=Dz1EWPn0dKY,386K views,1 year ago,2022-09-09 14:12:18.384721
Important and Controversial Judgments by Chief Justice Bobde | Important Judgments 2021,https://www.youtube.com/watch?v=XCPduJAAtzk,139K views,1 year ago,2022-09-09 14:12:18.384721
How do you Address a Judge? | My Lord or not? | Lawyers in Supreme Court,https://www.youtube.com/watch?v=Fr8b6zFDwjo,595K views,1 year ago,2022-09-09 14:12:18.384721
"IBPS SO Law Officer Exam 2021 | Know the Eligibility, Dates, Pattern & Syllabus IBPS",https://www.youtube.com/watch?v=pJGmyttJHCo,46K views,1 year ago,2022-09-09 14:12:18.384721
AIBE 2021 | New Exam Pattern | How to Prepare for AIBE Exam | New Pattern BCI AIBE,https://www.youtube.com/watch?v=hPn1mXEr1HU,143K views,1 year ago,2022-09-09 14:12:18.384721
Kyu Khate the Geeta ki Kasam? | Indian Oaths Act,https://www.youtube.com/watch?v=KgVVTpx4nEM,578K views,1 year ago,2022-09-09 14:12:18.384721
Difference between IPC and CrPC | Indian Penal Code and Criminal Procedure Code Difference,https://www.youtube.com/watch?v=dVPedKxq7Sw,439K views,1 year ago,2022-09-09 14:12:18.384721
"""No Advertisements"" for Lawyers | Bar Council of India Rule 36",https://www.youtube.com/shorts/lZYN_w3lC9M,386K views,1 year ago,2022-09-09 14:12:18.384721
TOP Exams for Law Students | Exams after LL. B,https://www.youtube.com/watch?v=vH07tUyzmzc,885K views,1 year ago,2022-09-09 14:12:18.384721
"What is the difference Between Lawyer, Advocate, Barrister, Attorney and more!",https://www.youtube.com/watch?v=iCRyBQfwOwo,2.2M views,1 year ago,2022-09-09 14:12:18.384721
Monthly Current Affairs | March 2021 | Current Affairs 2021,https://www.youtube.com/watch?v=LWem7vtDLoY,65K views,1 year ago,2022-09-09 14:12:18.384721
